Borough,2010 Population,2016 Estimate
New York City,8175133,8537673
Bronx,1385108,1455720
Brooklyn,2504700,2626150
Manhattan,1585873,1643734
Queens,2230722,2333054
Staten Island,468730,476015
Source: http://www1.nyc.gov/site/planning/data-maps/nyc-population/current-future-populations.page,,
